recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,age2225,age2629,age3035,age3644,age4554,f2sms,wkless13
300001,05/16/89,1,NE,1,0,0,0,0,1,12/30/42,46,1353,0,0,0,1,1,0,0,0,0,0,1,0,1
300002,08/30/89,1,LC,1,0,0,0,0,1,06/27/65,24,4984,3591,0,0,1,0,0,1,0,0,0,0,0,0
300006,08/18/88,1,HF,0,0,0,1,0,0,09/24/53,34,27707,0,1,0,1,0,1,0,0,1,0,0,0,1
300008,03/08/89,1,IN,0,0,0,0,1,0,07/19/57,31,31860,9476,0,0,1,0,0,0,0,1,0,0,0,0
300010,11/16/88,0,CV,0,0,0,0,1,0,01/05/66,22,26615,9600,0.2111608,1,0,0,0,1,0,0,0,0,0,0
300012,04/26/88,1,JK,1,0,1,0,1,0,12/05/65,22,48541,200,0,1,1,1,0,1,0,0,0,0,1,1
300013,10/11/88,1,SM,0,0,1,0,1,0,09/25/52,36,3240,10000,1,0,1,0,0,0,0,0,1,0,0,0
300014,08/25/88,1,HF,1,0,0,1,0,0,10/18/46,41,8385,0,1,0,1,0,0,0,0,0,1,0,0,1
300015,02/06/89,1,SM,1,0,1,1,0,0,06/09/64,24,4036,10339,1,0,0,0,0,1,0,0,0,0,0,0
300016,07/27/88,1,SM,0,0,1,0,1,0,03/29/62,26,16419,5000,0,0,1,0,0,0,1,0,0,0,1,0
300019,12/15/88,1,CC,0,0,0,0,1,0,04/10/61,27,22221,150,0,0,1,0,0,0,1,0,0,0,1,1
300022,07/14/88,1,CC,0,0,0,0,1,0,03/10/53,35,1933,1671,1,0,0,0,1,0,0,1,0,0,0,1
300025,01/20/88,0,PR,0,0,1,0,1,0,12/03/38,49,19541,0,0,0,0,0,0,0,0,0,0,1,1,1
300026,01/31/89,1,LC,1,0,0,0,0,1,12/18/48,40,25766,1569,1,0,1,0,0,0,0,0,1,0,0,0
300027,12/09/88,1,JK,1,0,1,1,0,0,01/07/65,23,9879,11400,1,0,1,1,0,1,0,0,0,0,0,0
300028,08/01/88,0,OK,0,0,1,1,0,0,12/01/53,34,25199,5000,0,0,1,0,0,0,0,1,0,0,1,0
300029,08/19/88,1,HF,0,0,1,0,0,1,09/09/63,24,5486,4103.911,0,0,0,0,0,1,0,0,0,0,1,0
300030,06/03/88,0,JK,0,0,0,0,1,0,09/22/65,22,24765,3412,0,0,1,0,0,1,0,0,0,0,0,0
300032,03/16/89,1,MN,0,0,1,0,1,0,09/03/57,31,29780,8000,0,0,1,0,0,0,0,1,0,0,1,0
300033,07/26/89,0,IN,0,0,1,0,0,1,11/06/60,28,18888,12300,1,0,1,0,0,0,1,0,0,0,1,0
300034,03/06/89,1,PR,0,0,1,0,0,1,09/26/49,39,16773,4103.911,0,0,0.6876773,0,0,0,0,0,1,0,0,0.4073359
300035,03/06/89,1,LC,1,0,0,0,0,1,07/24/59,29,33390,7751,0,1,1,0,0,0,1,0,0,0,0,0
300037,06/13/88,0,CV,0,0,0,0,1,0,02/12/62,26,12537,600,0,0,0,0,0,0,1,0,0,0,0,1
300039,11/04/88,0,IN,0,0,0,0,1,0,04/11/60,28,48254,6634,0,0,1,0,0,0,1,0,0,0,0,0
300040,01/27/89,0,NE,0,1,0,0,1,0,12/30/55,33,23686,0,0,1,0,1,0,0,0,1,0,0,0,1
300041,02/26/88,1,CV,1,0,0,1,0,0,10/30/44,43,0,2444.656,1,0,0,0,0,0,0,0,1,0,1,0.5332298
300044,07/12/88,1,JK,1,0,1,1,0,0,01/12/61,27,21035,4103.911,0,0,1,1,0,0,1,0,0,0,0,1
300047,11/29/88,0,PR,0,0,1,0,0,1,08/29/57,31,1184,4103.911,0,0,0,1,0,0,0,1,0,0,0,0.4073359
300048,04/05/89,0,LC,0,0,0,0,0,1,10/24/55,33,10112,500,1,0,1,0,0,0,0,1,0,0,0,0
300052,09/08/88,0,IN,0,0,0,0,1,0,02/16/59,29,33570,8460,0,0,1,0,0,0,1,0,0,0,0,0
300054,05/02/89,0,CI,0,0,1,0,1,0,04/13/66,23,12301,2500,0,0,0,0,0,1,0,0,0,0,0,0.4073359
300055,01/04/89,0,MT,0,0,0,0,1,0,02/19/62,26,27676,8020,1,0,1,0,0,0,1,0,0,0,1,0
300057,02/07/89,0,SM,0,0,1,0,1,0,02/11/59,29,57676,13000,1,0,1,0,0,0,1,0,0,0,1,0.4073359
300058,01/29/88,1,IN,1,0,0,0,1,0,03/11/58,29,38018,4500,0,0,1,1,0,0,1,0,0,0,0,0
300059,02/10/88,1,PR,1,1,0,0,0,1,08/24/61,26,3366,0,0,0,0,0,0,0,1,0,0,0,1,1
300062,11/17/88,1,CV,1,0,1,0,0,1,08/17/47,41,4038,1000,1,0,0,0,0,0,0,0,1,0,0,0
300063,08/30/88,0,MN,1,1,0,1,0,0,02/09/59,29,13892,4000,0,0,1,0,0,0,1,0,0,0,1,0
300064,06/09/88,0,JK,0,0,0,0,1,0,07/08/58,29,14598,2041,0,0,1,1,0,0,1,0,0,0,0,0
300066,08/31/88,1,IN,1,1,0,0,1,0,01/24/59,29,439,0,0,0,0.716404,0,0,0,1,0,0,0,1,1
300070,05/27/88,0,CC,0,0,1,0,0,1,07/10/58,29,9794,4103.911,0,0,1,0,1,0,1,0,0,0,1,0.4073359
300074,08/24/88,1,CI,1,0,1,0,1,0,07/12/63,25,20609,0,1,0,1,0,0,1,0,0,0,0,1,1
300075,06/30/89,0,NE,0,1,0,1,0,0,12/29/66,22,37644,3500,0,0,1,0,1,1,0,0,0,0,0,0
300076,01/22/88,1,JC,0,0,1,0,1,0,11/04/65,22,21219,5200,0,1,1,1,0,1,0,0,0,0,1,0
300077,09/26/88,0,LC,0,0,0,0,0,1,02/04/40,48,9747,4500,0,0,1,0,0,0,0,0,0,1,0,0
300078,01/04/89,0,IN,0,1,0,0,1,0,02/21/38,50,0,154,0,0,0,0,0,0,0,0,0,1,0,1
300080,04/29/88,1,IN,0,1,0,0,0,1,10/28/41,46,0,2444.656,0,0,1,1,0,0,0,0,0,1,0,0.5332298
300081,04/21/89,1,NE,1,0,1,0,1,0,08/19/55,33,31196,10000,1,0,1,1,0,0,0,1,0,0,0,0
